slug,insurer,policyName,entryAge,ppt,pt,annualPremium,incomeStartYear,incomeEndYear,annualIncome,maturityLumpSum,termCoverCost,title,metaDescription
tata-aia-life-fortune-guarantee-supreme-(power-of-6)-age-45-ppt-10,Tata AIA Life,Fortune Guarantee Supreme (Power of 6),45,10,40,180000,21,40,375880,1730000.0,22000,Tata AIA Life Fortune Guarantee Supreme (Power of 6) Returns & XIRR (Age 45),Discover the true XIRR return of Tata AIA Life Fortune Guarantee Supreme (Power of 6) for a 45-year-old. Compare it against mutual funds.
lic-india-jeevan-umang-age-45-ppt-15,LIC India,Jeevan Umang,45,15,54,180000,15,54,176000,15532000.0,22000,LIC India Jeevan Umang Returns & XIRR (Age 45),Discover the true XIRR return of LIC India Jeevan Umang for a 45-year-old. Compare it against mutual funds.
hdfc-life-guaranteed-income-insurance-plan-age-45-ppt-10,HDFC Life,Guaranteed Income Insurance Plan,45,10,42,180000,13,42,170189,1668524.0,22000,HDFC Life Guaranteed Income Insurance Plan Returns & XIRR (Age 45),Discover the true XIRR return of HDFC Life Guaranteed Income Insurance Plan for a 45-year-old. Compare it against mutual funds.
lic-india-jeevan-utsav-age-45-ppt-10,LIC India,Jeevan Utsav,45,10,54,180000,13,54,155000,0,22000,LIC India Jeevan Utsav Returns & XIRR (Age 45),Discover the true XIRR return of LIC India Jeevan Utsav for a 45-year-old. Compare it against mutual funds.
icici-prudential-life-gift-select-immediate-income-age-45-ppt-10,ICICI Prudential Life,GIFT Select - Immediate Income,45,10,37,180000,13,37,167185,1722490.0,22000,ICICI Prudential Life GIFT Select - Immediate Income Returns & XIRR (Age 45),Discover the true XIRR return of ICICI Prudential Life GIFT Select - Immediate Income for a 45-year-old. Compare it against mutual funds.
hdfc-life-sanchay-plus-long-term-income-age-50-ppt-10,HDFC Life,Sanchay Plus - Long Term Income,50,10,42,180000,13,42,179677,1854010.0,22000,HDFC Life Sanchay Plus - Long Term Income Returns & XIRR (Age 50),Discover the true XIRR return of HDFC Life Sanchay Plus - Long Term Income for a 50-year-old. Compare it against mutual funds.
axis-max-life-swp-long-term-income-age-50-ppt-10,Axis Max Life,SWP-Long Term Income,50,10,42,180000,13,42,193128,1750290.0,22000,Axis Max Life SWP-Long Term Income Returns & XIRR (Age 50),Discover the true XIRR return of Axis Max Life SWP-Long Term Income for a 50-year-old. Compare it against mutual funds.
birla-sun-life-assured-income-plus-age-50-ppt-10,Birla Sun Life,Assured Income Plus,50,10,42,180000,13,42,179722,0,22000,Birla Sun Life Assured Income Plus Returns & XIRR (Age 50),Discover the true XIRR return of Birla Sun Life Assured Income Plus for a 50-year-old. Compare it against mutual funds.
birla-sun-life-assured-income-plus-with-rop-age-50-ppt-10,Birla Sun Life,Assured Income Plus with ROP,50,10,42,180000,13,42,165966,2160012.0,22000,Birla Sun Life Assured Income Plus with ROP Returns & XIRR (Age 50),Discover the true XIRR return of Birla Sun Life Assured Income Plus with ROP for a 50-year-old. Compare it against mutual funds.
axis-max-life-swag-long-term-wealth-age-50-ppt-10,Axis Max Life,SWAG-Long Term Wealth,50,10,42,180000,13,42,166073,1768150.0,22000,Axis Max Life SWAG-Long Term Wealth Returns & XIRR (Age 50),Discover the true XIRR return of Axis Max Life SWAG-Long Term Wealth for a 50-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-level-income-age-50-ppt-10,ICICI Prudential Life,GIFT Pro - Level Income,50,10,42,180000,13,42,203771,0,22000,ICICI Prudential Life GIFT Pro - Level Income Returns & XIRR (Age 50),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Level Income for a 50-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-increasing-income-age-50-ppt-10,ICICI Prudential Life,GIFT Pro - Increasing Income,50,10,42,180000,13,42,139746,0,22000,ICICI Prudential Life GIFT Pro - Increasing Income Returns & XIRR (Age 50),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Increasing Income for a 50-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-level-income-with-rop-age-50-ppt-10,ICICI Prudential Life,GIFT Pro - Level Income with ROP,50,10,42,180000,13,42,188613,1774165.0,22000,ICICI Prudential Life GIFT Pro - Level Income with ROP Returns & XIRR (Age 50),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Level Income with ROP for a 50-year-old. Compare it against mutual funds.
icici-prudential-life-gift-pro-increasing-income-with-rop-age-50-ppt-10,ICICI Prudential Life,GIFT Pro - Increasing Income with ROP,50,10,42,180000,13,42,129359,1774165.0,22000,ICICI Prudential Life GIFT Pro - Increasing Income with ROP Returns & XIRR (Age 50),Discover the true XIRR return of ICICI Prudential Life GIFT Pro - Increasing Income with ROP for a 50-year-old. Compare it against mutual funds.
hdfc-life-guaranteed-wealth-plus-income-variant-age-50-ppt-10,HDFC Life,Guaranteed Wealth Plus-Income variant,50,10,41,180000,12,41,158098,1800010.0,22000,HDFC Life Guaranteed Wealth Plus-Income variant Returns & XIRR (Age 50),Discover the true XIRR return of HDFC Life Guaranteed Wealth Plus-Income variant for a 50-year-old. Compare it against mutual funds.
canara-hsbc-life-iselect-gfp-lti-with-rop-age-50-ppt-10,Canara HSBC Life,iSelect GFP-LTI with ROP,50,10,42,180000,13,42,176784,1800000.0,22000,Canara HSBC Life iSelect GFP-LTI with ROP Returns & XIRR (Age 50),Discover the true XIRR return of Canara HSBC Life iSelect GFP-LTI with ROP for a 50-year-old. Compare it against mutual funds.
axis-max-life-swag-long-term-wealth-pcb-age-50-ppt-10,Axis Max Life,SWAG-Long Term Wealth-PCB,50,10,42,180000,13,42,122165,1768150.0,22000,Axis Max Life SWAG-Long Term Wealth-PCB Returns & XIRR (Age 50),Discover the true XIRR return of Axis Max Life SWAG-Long Term Wealth-PCB for a 50-year-old. Compare it against mutual funds.
bajaj-life-gwg-assured-income-age-50-ppt-10,Bajaj Life,GWG - Assured Income,50,10,42,180000,13,42,172487,1799990.0,22000,Bajaj Life GWG - Assured Income Returns & XIRR (Age 50),Discover the true XIRR return of Bajaj Life GWG - Assured Income for a 50-year-old. Compare it against mutual funds.
bajaj-life-gwg-second-income-age-50-ppt-10,Bajaj Life,GWG - Second Income,50,10,42,180000,13,42,191420,0,22000,Bajaj Life GWG - Second Income Returns & XIRR (Age 50),Discover the true XIRR return of Bajaj Life GWG - Second Income for a 50-year-old. Compare it against mutual funds.
bajaj-life-gwg-second-income-with-rop-age-50-ppt-10,Bajaj Life,GWG - Second Income with ROP,50,10,42,180000,13,42,180945,1799985.0,22000,Bajaj Life GWG - Second Income with ROP Returns & XIRR (Age 50),Discover the true XIRR return of Bajaj Life GWG - Second Income with ROP for a 50-year-old. Compare it against mutual funds.
tata-aia-life-fg-secure-regular-income-rop-age-50-ppt-10,Tata AIA Life,FG Secure - Regular Income ROP,50,10,42,180000,13,42,184695,1755658.0,22000,Tata AIA Life FG Secure - Regular Income ROP Returns & XIRR (Age 50),Discover the true XIRR return of Tata AIA Life FG Secure - Regular Income ROP for a 50-year-old. Compare it against mutual funds.
tata-aia-life-fg-secure-regular-income-plus-age-50-ppt-10,Tata AIA Life,FG Secure - Regular Income Plus,50,10,42,180000,13,42,172456,1755663.0,22000,Tata AIA Life FG Secure - Regular Income Plus Returns & XIRR (Age 50),Discover the true XIRR return of Tata AIA Life FG Secure - Regular Income Plus for a 50-year-old. Compare it against mutual funds.
tata-aia-life-fortune-guarantee-supreme-(power-of-6)-age-50-ppt-10,Tata AIA Life,Fortune Guarantee Supreme (Power of 6),50,10,40,180000,21,40,375629,1730000.0,22000,Tata AIA Life Fortune Guarantee Supreme (Power of 6) Returns & XIRR (Age 50),Discover the true XIRR return of Tata AIA Life Fortune Guarantee Supreme (Power of 6) for a 50-year-old. Compare it against mutual funds.
lic-india-jeevan-umang-age-50-ppt-15,LIC India,Jeevan Umang,50,15,49,180000,15,49,176000,12921700.0,22000,LIC India Jeevan Umang Returns & XIRR (Age 50),Discover the true XIRR return of LIC India Jeevan Umang for a 50-year-old. Compare it against mutual funds.
hdfc-life-guaranteed-income-insurance-plan-age-50-ppt-10,HDFC Life,Guaranteed Income Insurance Plan,50,10,42,180000,13,42,169248,1659286.0,22000,HDFC Life Guaranteed Income Insurance Plan Returns & XIRR (Age 50),Discover the true XIRR return of HDFC Life Guaranteed Income Insurance Plan for a 50-year-old. Compare it against mutual funds.
lic-india-jeevan-utsav-age-50-ppt-10,LIC India,Jeevan Utsav,50,10,49,180000,13,49,155000,0,22000,LIC India Jeevan Utsav Returns & XIRR (Age 50),Discover the true XIRR return of LIC India Jeevan Utsav for a 50-year-old. Compare it against mutual funds.
icici-prudential-life-gift-select-immediate-income-age-50-ppt-10,ICICI Prudential Life,GIFT Select - Immediate Income,50,10,37,180000,13,37,162327,1722490.0,22000,ICICI Prudential Life GIFT Select - Immediate Income Returns & XIRR (Age 50),Discover the true XIRR return of ICICI Prudential Life GIFT Select - Immediate Income for a 50-year-old. Compare it against mutual funds.
